farm,trt,sample,Length,width
a,grower standard,4,.,.
a,grower standard,5,.,.
a,grower standard,7,.,.
a,grower standard,13,.,.
a,grower standard,16,.,.
a,grower standard,19,.,.
a,grower standard,21,.,.
a,grower standard,25,.,.
a,grower standard,27,.,.
a,grower standard,29,.,.
a,grower standard,1,39,69
a,grower standard,2,37,71
a,grower standard,2,31,65
a,grower standard,3,41,68
a,grower standard,6,37,57
a,grower standard,6,25,69
a,grower standard,6,31,64
a,grower standard,8,28,61
a,grower standard,9,43,71
a,grower standard,9,36,62
a,grower standard,9,25,49
a,grower standard,10,35,57
a,grower standard,10,27,52
a,grower standard,11,47,76
a,grower standard,12,33,57
a,grower standard,12,22,35
a,grower standard,14,36,69
a,grower standard,15,44,68
a,grower standard,17,40,72
a,grower standard,17,37,68
a,grower standard,18,31,67
a,grower standard,18,25,45
a,grower standard,18,41,51
a,grower standard,20,40,67
a,grower standard,20,37,65
a,grower standard,22,41,64
a,grower standard,22,36,57
a,grower standard,23,28,38
a,grower standard,24,34,52
a,grower standard,24,28,36
a,grower standard,26,35,68
a,grower standard,26,31,73
a,grower standard,26,31,45
a,grower standard,28,49,70
a,grower standard,30,30,51
a,grower standard,30,28,46
a,IPPM-based,18,.,.
a,IPPM-based,27,.,.
a,IPPM-based,1,55.5,86
a,IPPM-based,1,23,55
a,IPPM-based,2,57,80
a,IPPM-based,2,50,75
a,IPPM-based,2,57,68
a,IPPM-based,3,45,70
a,IPPM-based,3,23,70
a,IPPM-based,4,50,63
a,IPPM-based,5,40,67
a,IPPM-based,5,31,45
a,IPPM-based,6,38,71
a,IPPM-based,6,31,70
a,IPPM-based,7,61,92
a,IPPM-based,7,33,40
a,IPPM-based,8,39,67
a,IPPM-based,8,29,67
a,IPPM-based,8,37,75
a,IPPM-based,9,50,78
a,IPPM-based,10,41,72
a,IPPM-based,10,36,65
a,IPPM-based,10,31,78
a,IPPM-based,11,47,81
a,IPPM-based,11,30,52
a,IPPM-based,11,42,61
a,IPPM-based,12,43,82
a,IPPM-based,12,31,77
a,IPPM-based,13,51,80
a,IPPM-based,13,55,78
a,IPPM-based,14,38,77
a,IPPM-based,14,25,54
a,IPPM-based,14,28,63
a,IPPM-based,15,37,71
a,IPPM-based,15,55,81
a,IPPM-based,16,33,70
a,IPPM-based,16,28,68
a,IPPM-based,16,32,49
a,IPPM-based,17,36,68
a,IPPM-based,19,41,81
a,IPPM-based,20,39,83
a,IPPM-based,20,32,78
a,IPPM-based,20,32,72
a,IPPM-based,20,21,51
a,IPPM-based,21,31,76
a,IPPM-based,21,24,62
a,IPPM-based,21,25,71
a,IPPM-based,22,35,73
a,IPPM-based,23,40,80
a,IPPM-based,23,43,72
a,IPPM-based,24,37,68
a,IPPM-based,25,28,52
a,IPPM-based,25,41,63
a,IPPM-based,26,37,76
a,IPPM-based,26,51,51
a,IPPM-based,28,45,89
a,IPPM-based,28,35,70
a,IPPM-based,29,31,57
a,IPPM-based,29,43,67
a,IPPM-based,30,50,78
a,IPPM-based,30,47,68
a,IPPM-based,30,51,72
b,grower standard,12,.,.
b,grower standard,15,.,.
b,grower standard,21,.,.
b,grower standard,23,.,.
b,grower standard,27,.,.
b,grower standard,30,.,.
b,grower standard,1,33.02,63.5
b,grower standard,1,29.21,60.96
b,grower standard,2,31.75,63.5
b,grower standard,2,34.29,63.5
b,grower standard,2,27.94,53.34
b,grower standard,3,46.99,72.39
b,grower standard,3,31.75,62.23
b,grower standard,3,26.67,55.88
b,grower standard,4,33.02,66.04
b,grower standard,4,31.75,62.23
b,grower standard,4,38.1,68.58
b,grower standard,5,36.83,68.58
b,grower standard,5,26.67,55.88
b,grower standard,5,24.13,49.53
b,grower standard,5,21.59,45.72
b,grower standard,6,35.56,63.5
b,grower standard,6,33.02,53.34
b,grower standard,6,35.56,55.88
b,grower standard,6,39.37,66.04
b,grower standard,6,39.37,66.04
b,grower standard,7,36.83,68.58
b,grower standard,7,33.02,62.23
b,grower standard,8,44.45,66.04
b,grower standard,8,33.02,63.5
b,grower standard,9,35.56,67.31
b,grower standard,10,29.21,66.04
