rep,product,freq,timing,abort,reg.shaped
1,bifenture,0,am,0.25,0.285714286
1,assail,2,pm,0.583333334,0.230769231
1,assail,0,am,0.166666667,0.235294118
1,assail,0,pm,0,0.25
1,bifenture,2,pm,0.75,0.16
1,assail,2,am,0.75,0.222222222
1,bifenture,0,pm,0.3,0.294117647
1,harvanta,0,pm,0.875,0.235294118
1,harvanta,2,am,0.25,0.111111111
1,harvanta,2,pm,0.5,0.130434783
1,bifenture,2,am,0.708333334,0.25
1,harvanta,0,am,0.75,0.352941176
2,bifenture,0,pm,0.333333333,0.333333333
2,assail,0,pm,0.333333333,0.238095238
2,harvanta,0,pm,0.5,0.333333333
2,assail,0,am,0.5,0.2
2,bifenture,0,am,0.5,0.266666667
2,harvanta,0,am,0.5,0.304347826
2,harvanta,2,pm,0,0.090909091
2,bifenture,2,pm,0.666666667,0.157894737
2,assail,2,am,0.75,0.148148148
2,harvanta,2,am,0.5,0.222222222
2,bifenture,2,am,0.833333334,0.076923077
2,assail,2,pm,0.625,0.058823529
3,assail,0,am,0.166666667,0.333333333
3,assail,0,pm,0.25,0.2
3,harvanta,0,am,0.5,0.263157895
3,assail,2,am,0.5,0.058823529
3,bifenture,2,am,0.833333334,0.176470588
3,assail,2,pm,0.333333334,0.166666667
3,harvanta,2,pm,0.5,0.086956522
3,bifenture,0,pm,0.5,0.260869565
3,bifenture,2,pm,0.875,0.086956522
3,harvanta,2,am,0.75,0
3,bifenture,0,am,0.625,0.25
3,harvanta,0,pm,0.4,0.238095238
4,bifenture,2,am,1,0.125
4,assail,0,pm,0.416666667,0.2
4,harvanta,2,pm,0.5,0.045454545
4,harvanta,0,pm,0.25,0.117647059
4,assail,2,am,0.833333334,0.047619048
4,bifenture,0,am,0.25,0.263157895
4,harvanta,0,am,0.6,0.235294118
4,bifenture,2,pm,0.833333334,0.103448276
4,assail,2,pm,0.25,0.12
4,harvanta,2,am,0.875,0.095238095
4,assail,0,am,0.583333334,0.318181818
4,bifenture,0,pm,0.625,0.142857143
5,assail,2,pm,0.75,0.076923077
5,harvanta,0,pm,1,0.3
5,assail,0,am,0.25,0.210526316
5,harvanta,2,pm,0.666666667,0.227272727
5,assail,0,pm,0.25,0.277777778
5,bifenture,0,pm,0.466666667,0.421052632
5,harvanta,2,am,0.25,0.125
5,assail,2,am,0.75,0.086956522
5,bifenture,0,am,1,0.294117647
5,harvanta,0,am,0.3,0.181818182
5,bifenture,2,am,0.666666667,0.105263158
5,bifenture,2,pm,0.666666667,0.083333333
