product,freq,timing,rep,tons
Assail,threshold,AM,1,25.7774
Assail,weekly,AM,1,20.284
Assail,weekly,PM,1,30.4513
Assail,threshold,PM,1,15.6321
Assail,weekly,AM,2,28.9982
Assail,weekly,PM,2,22.0462
Assail,threshold,AM,2,44.759
Assail,threshold,PM,2,32.802
Assail,weekly,AM,3,22.9394
Assail,weekly,PM,3,37.0194
Assail,threshold,AM,3,32.4148
Assail,threshold,PM,3,31.1762
Assail,weekly,AM,4,43.6084
Assail,threshold,AM,4,34.4135
Assail,threshold,PM,4,34.98
Assail,weekly,PM,4,19.2621
Assail,threshold,AM,5,34.9338
Assail,weekly,AM,5,27.9653
Assail,weekly,PM,5,18.2611
Assail,threshold,PM,5,30.1345
Bifenture,weekly,AM,1,25.1449
Bifenture,threshold,AM,1,44.5236
Bifenture,weekly,PM,1,31.5898
Bifenture,threshold,PM,1,22.3586
Bifenture,weekly,AM,2,23.485
Bifenture,weekly,PM,2,21.8163
Bifenture,threshold,AM,2,42.2499
Bifenture,threshold,PM,2,35.5256
Bifenture,threshold,AM,3,36.3121
Bifenture,weekly,AM,3,41.9287
Bifenture,threshold,PM,3,44.3069
Bifenture,weekly,PM,3,36.6322
Bifenture,threshold,AM,4,37.4594
Bifenture,weekly,AM,4,37.8906
Bifenture,threshold,PM,4,40.7209
Bifenture,weekly,PM,4,26.037
Bifenture,weekly,AM,5,21.8812
Bifenture,weekly,PM,5,40.7528
Bifenture,threshold,AM,5,38.7167
Bifenture,threshold,PM,5,46.6015
Harvanta,weekly,AM,1,40.6395
Harvanta,threshold,AM,1,37.7905
Harvanta,threshold,PM,1,32.6953
Harvanta,weekly,PM,1,24.937
Harvanta,weekly,AM,2,29.4008
Harvanta,weekly,PM,2,44.6787
Harvanta,threshold,AM,2,40.6076
Harvanta,threshold,PM,2,24.4178
Harvanta,weekly,AM,3,46.7874
Harvanta,threshold,AM,3,42.2378
Harvanta,threshold,PM,3,30.5327
Harvanta,weekly,PM,3,40.733
Harvanta,threshold,AM,4,44.759
Harvanta,weekly,AM,4,29.3205
Harvanta,weekly,PM,4,46.0669
Harvanta,threshold,PM,4,32.3774
Harvanta,weekly,AM,5,40.4074
Harvanta,threshold,AM,5,31.647
Harvanta,threshold,PM,5,33.2486
Harvanta,weekly,PM,5,35.7676
